Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Ticker,Daily_Return
2018-02-15T00:00:00Z,1083.45,1094.1,1067.23,1091.36,1806206,0,1,1083.45,1094.1,1067.23,1091.36,1806206,GOOGL,-0.003779096
2018-02-14T00:00:00Z,1054.32,1075.47,1049.8,1072.7,2029979,0,1,1054.32,1075.47,1049.8,1072.7,2029979,GOOGL,-0.017097933
2018-02-13T00:00:00Z,1050,1061.22,1046.92,1054.14,1574121,0,1,1050,1061.22,1046.92,1054.14,1574121,GOOGL,-0.017302135
2018-02-12T00:00:00Z,1056.67,1065.57,1045.49,1054.56,2796258,0,1,1056.67,1065.57,1045.49,1054.56,2796258,GOOGL,0.000398429
2018-02-09T00:00:00Z,1025.88,1051.72,997,1043.43,4436032,0,1,1025.88,1051.72,997,1043.43,4436032,GOOGL,-0.010554165
2018-02-08T00:00:00Z,1059.87,1063.93,1005.12,1005.6,3067173,0,1,1059.87,1063.93,1005.12,1005.6,3067173,GOOGL,-0.036255427
2018-02-07T00:00:00Z,1084.97,1086.53,1054.62,1055.41,2544683,0,1,1084.97,1086.53,1054.62,1055.41,2544683,GOOGL,0.049532617
2018-02-06T00:00:00Z,1033.98,1087.38,1030.01,1084.43,3732527,0,1,1033.98,1087.38,1030.01,1084.43,3732527,GOOGL,0.027496423
2018-02-05T00:00:00Z,1100.61,1114.99,1056.74,1068.76,3742469,0,1,1100.61,1114.99,1056.74,1068.76,3742469,GOOGL,-0.014449988
2018-02-02T00:00:00Z,1127.42,1131.3,1111.17,1119.2,5798880,0,1,1127.42,1131.3,1111.17,1119.2,5798880,GOOGL,0.04719488
2018-02-01T00:00:00Z,1175.99,1187.45,1169.36,1181.59,2774967,0,1,1175.99,1187.45,1169.36,1181.59,2774967,GOOGL,0.055745175
2018-01-31T00:00:00Z,1183.81,1186.32,1172.1,1182.22,1643877,0,1,1183.81,1186.32,1172.1,1182.22,1643877,GOOGL,0.00053318
2018-01-30T00:00:00Z,1177.72,1187.93,1174.51,1177.37,1792602,0,1,1177.72,1187.93,1174.51,1177.37,1792602,GOOGL,-0.004102451
2018-01-29T00:00:00Z,1188,1198,1184.06,1186.48,1533931,0,1,1188,1198,1184.06,1186.48,1533931,GOOGL,0.007737585
2018-01-26T00:00:00Z,1187.53,1187.56,1168.03,1187.56,1981476,0,1,1187.53,1187.56,1168.03,1187.56,1981476,GOOGL,0.000910256
2018-01-25T00:00:00Z,1180.71,1185,1171.84,1182.14,1398961,0,1,1180.71,1185,1171.84,1182.14,1398961,GOOGL,-0.00456398
2018-01-24T00:00:00Z,1184.98,1187.05,1167.4,1171.29,1818182,0,1,1184.98,1187.05,1167.4,1171.29,1818182,GOOGL,-0.00917827
2018-01-23T00:00:00Z,1170.62,1178.51,1167.25,1176.17,1832126,0,1,1170.62,1178.51,1167.25,1176.17,1832126,GOOGL,0.004166347
2018-01-22T00:00:00Z,1143.82,1166.88,1141.82,1164.16,1437954,0,1,1143.82,1166.88,1141.82,1164.16,1437954,GOOGL,-0.010211109
2018-01-19T00:00:00Z,1138.03,1143.78,1132.5,1143.5,1418376,0,1,1138.03,1143.78,1132.5,1143.5,1418376,GOOGL,-0.017746701
2018-01-18T00:00:00Z,1139.35,1140.59,1124.46,1135.97,1333633,0,1,1139.35,1140.59,1124.46,1135.97,1333633,GOOGL,-0.006585046
2018-01-17T00:00:00Z,1136.36,1139.32,1123.49,1139.1,1353097,0,1,1136.36,1139.32,1123.49,1139.1,1353097,GOOGL,0.002755354
2018-01-16T00:00:00Z,1140.31,1148.88,1126.66,1130.7,1783881,0,1,1140.31,1148.88,1126.66,1130.7,1783881,GOOGL,-0.007374243
2018-01-12T00:00:00Z,1110.1,1131.3,1108.01,1130.65,1914460,0,1,1110.1,1131.3,1108.01,1130.65,1914460,GOOGL,-4.42204E-05
2018-01-11T00:00:00Z,1112.31,1114.85,1106.48,1111.88,1102461,0,1,1112.31,1114.85,1106.48,1111.88,1102461,GOOGL,-0.01660107
2018-01-10T00:00:00Z,1107,1112.78,1103.98,1110.14,1027781,0,1,1107,1112.78,1103.98,1110.14,1027781,GOOGL,-0.001564917
2018-01-09T00:00:00Z,1118.44,1118.44,1108.2,1112.79,1335995,0,1,1118.44,1118.44,1108.2,1112.79,1335995,GOOGL,0.002387086
2018-01-08T00:00:00Z,1111,1119.16,1110,1114.21,1148958,0,1,1111,1119.16,1110,1114.21,1148958,GOOGL,0.001276072
2018-01-05T00:00:00Z,1103.45,1113.58,1101.8,1110.29,1493389,0,1,1103.45,1113.58,1101.8,1110.29,1493389,GOOGL,-0.003518188
2018-01-04T00:00:00Z,1097.09,1104.08,1094.26,1095.76,1289293,0,1,1097.09,1104.08,1094.26,1095.76,1289293,GOOGL,-0.013086671
2018-01-03T00:00:00Z,1073.93,1096.1,1073.43,1091.52,1550593,0,1,1073.93,1096.1,1073.43,1091.52,1550593,GOOGL,-0.00386946
2018-01-02T00:00:00Z,1053.02,1075.98,1053.02,1073.21,1555809,0,1,1053.02,1075.98,1053.02,1073.21,1555809,GOOGL,-0.016774773
2017-12-29T00:00:00Z,1055.49,1058.05,1052.7,1053.4,1156357,0,1,1055.49,1058.05,1052.7,1053.4,1156357,GOOGL,-0.018458643
2017-12-28T00:00:00Z,1062.25,1064.84,1053.38,1055.95,982285,0,1,1062.25,1064.84,1053.38,1055.95,982285,GOOGL,0.002420733
2017-12-27T00:00:00Z,1066.6,1068.27,1058.38,1060.2,1027634,0,1,1066.6,1068.27,1058.38,1060.2,1027634,GOOGL,0.004024812
2017-12-26T00:00:00Z,1068.64,1068.86,1058.64,1065.85,914574,0,1,1068.64,1068.86,1058.64,1065.85,914574,GOOGL,0.005329183
2017-12-22T00:00:00Z,1070,1071.72,1067.64,1068.86,860800,0,1,1070,1071.72,1067.64,1068.86,860800,GOOGL,0.002824037
2017-12-21T00:00:00Z,1075.39,1077.52,1069,1070.85,1211012,0,1,1075.39,1077.52,1069,1070.85,1211012,GOOGL,0.001861797
2017-12-20T00:00:00Z,1080.92,1081.23,1068.6,1073.56,1429035,0,1,1080.92,1081.23,1068.6,1073.56,1429035,GOOGL,0.0025307
